# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:ppp'
# Event count (approx.): 7488323981209
#
# Overhead  Command     Shared Object        Symbol                                        
# ........  ..........  ...................  ..............................................
#
     0.03%  translator  perf-32205.map       [.] src_0x365640
     0.03%  translator  perf-32205.map       [.] src_0x20a194
     0.03%  translator  perf-32205.map       [.] src_0x4f1070
     0.03%  translator  perf-32205.map       [.] src_0x529f34
     0.03%  translator  perf-32205.map       [.] src_0x2b3f1c
     0.03%  translator  perf-32205.map       [.] src_0x2658f4
     0.03%  translator  perf-32205.map       [.] src_0xde86c
     0.03%  translator  perf-32205.map       [.] src_0x12cf8c
     0.03%  translator  perf-32205.map       [.] src_0x20c6b8
     0.03%  translator  perf-32205.map       [.] src_0x4f0434
     0.03%  translator  perf-32205.map       [.] src_0x26be5c
     0.03%  translator  perf-32205.map       [.] src_0x527864
     0.03%  translator  perf-32205.map       [.] src_0x2b3f68
     0.03%  translator  perf-32205.map       [.] src_0x529f2c
     0.03%  translator  perf-32205.map       [.] src_0x358adc
     0.03%  translator  perf-32205.map       [.] src_0x4f0be0
     0.03%  translator  perf-32205.map       [.] src_0x4f1044
     0.03%  translator  perf-32205.map       [.] src_0x2bd4ac
     0.03%  translator  perf-32205.map       [.] src_0x4f0b20
     0.03%  translator  perf-32205.map       [.] src_0x4f0f70
     0.03%  translator  perf-32205.map       [.] src_0x20765c
     0.03%  translator  perf-32205.map       [.] src_0xdebfc
     0.03%  translator  perf-32205.map       [.] src_0x2b3f64
     0.03%  translator  perf-32205.map       [.] src_0x126948
     0.03%  translator  perf-32205.map       [.] src_0x12cf98
     0.03%  translator  perf-32205.map       [.] src_0x4f16fc
     0.03%  translator  perf-32205.map       [.] src_0x52a94c
     0.03%  translator  perf-32205.map       [.] src_0x4f0bf0
     0.03%  translator  perf-32205.map       [.] src_0x527870
     0.03%  translator  perf-32205.map       [.] src_0x20c6b4
     0.03%  translator  perf-32205.map       [.] src_0x4f16f4
     0.03%  translator  perf-32205.map       [.] src_0x1ede8
     0.03%  translator  perf-32205.map       [.] src_0x26c780
     0.03%  translator  perf-32205.map       [.] src_0x4f0acc
     0.03%  translator  perf-32205.map       [.] src_0x4f0df0
     0.03%  translator  perf-32205.map       [.] src_0x164720
     0.03%  translator  perf-32205.map       [.] src_0x26c430
     0.03%  translator  perf-32205.map       [.] src_0x2c3fd4
     0.03%  translator  perf-32205.map       [.] src_0x2c3fc4
     0.03%  translator  perf-32205.map       [.] src_0x1ede4
     0.03%  translator  perf-32205.map       [.] src_0xf17ec
     0.03%  translator  perf-32205.map       [.] src_0xdeba8
     0.03%  translator  perf-32205.map       [.] src_0x2085b4
     0.03%  translator  perf-32205.map       [.] src_0x12cf20
     0.03%  translator  perf-32205.map       [.] src_0xdb0a8
     0.03%  translator  perf-32205.map       [.] src_0x2c3f88
     0.03%  translator  perf-32205.map       [.] src_0xf52a4
     0.03%  translator  perf-32205.map       [.] src_0x52f188
     0.03%  translator  perf-32205.map       [.] src_0x201a10
     0.03%  translator  perf-32205.map       [.] src_0x4f1034
     0.03%  translator  perf-32205.map       [.] src_0x52a2e8
     0.03%  translator  perf-32205.map       [.] src_0x4f04a8
     0.03%  translator  perf-32205.map       [.] src_0x52a984
     0.03%  translator  perf-32205.map       [.] src_0x26c7c8
     0.03%  translator  perf-32205.map       [.] src_0x529ebc
     0.03%  translator  perf-32205.map       [.] src_0x12cf30
     0.03%  translator  perf-32205.map       [.] src_0x26b350
     0.03%  translator  [kernel.kallsyms]    [k] prepare_exit_to_usermode
     0.03%  translator  perf-32205.map       [.] src_0x33d390
     0.03%  translator  perf-32205.map       [.] src_0x529f68
     0.03%  translator  perf-32205.map       [.] src_0x365628
     0.03%  translator  perf-32205.map       [.] src_0x364c50
     0.03%  translator  perf-32205.map       [.] src_0xdeb68
     0.03%  translator  perf-32205.map       [.] src_0x52a98c
     0.03%  translator  perf-32205.map       [.] src_0x4f0d54
     0.03%  translator  perf-32205.map       [.] src_0xdaf08
     0.03%  translator  perf-32205.map       [.] src_0x52a3c4
     0.03%  translator  perf-32205.map       [.] src_0x20c7d0
     0.03%  translator  perf-32205.map       [.] src_0x528890
     0.03%  translator  perf-32205.map       [.] src_0x529e7c
     0.03%  translator  perf-32205.map       [.] src_0xf70bc
     0.03%  translator  perf-32205.map       [.] src_0x4f0af0
     0.03%  translator  perf-32205.map       [.] src_0x52b8d8
     0.03%  translator  perf-32205.map       [.] src_0x52a544
     0.03%  translator  perf-32205.map       [.] src_0x1ee18
     0.02%  translator  perf-32205.map       [.] src_0xfb89c
     0.02%  translator  perf-32205.map       [.] src_0x26c1f4
     0.02%  translator  perf-32205.map       [.] src_0x26b0a4
     0.02%  translator  perf-32205.map       [.] src_0x20c6d8
     0.02%  translator  perf-32205.map       [.] src_0x3654b4
     0.02%  translator  perf-32205.map       [.] src_0x52a71c
     0.02%  translator  perf-32205.map       [.] src_0x1ee64
     0.02%  translator  perf-32205.map       [.] src_0x5288d4
     0.02%  translator  perf-32205.map       [.] src_0x527884
     0.02%  translator  perf-32205.map       [.] src_0x365678
     0.02%  translator  perf-32205.map       [.] src_0x2aecf0
     0.02%  translator  perf-32205.map       [.] src_0xfb520
     0.02%  translator  perf-32205.map       [.] src_0x365670
     0.02%  translator  perf-32205.map       [.] src_0x52a3e0
     0.02%  translator  [kernel.kallsyms]    [k] native_irq_return_iret
     0.02%  translator  perf-32205.map       [.] src_0x202024
     0.02%  translator  perf-32205.map       [.] src_0x52a388
     0.02%  translator  perf-32205.map       [.] src_0x3654ec
     0.02%  translator  perf-32205.map       [.] src_0x528d04
     0.02%  translator  perf-32205.map       [.] src_0x5288f8
     0.02%  translator  perf-32205.map       [.] src_0x20a1e0
     0.02%  translator  perf-32205.map       [.] src_0x26a9f4
     0.02%  translator  perf-32205.map       [.] src_0x5288cc
     0.02%  translator  perf-32205.map       [.] src_0xf70c8
     0.02%  translator  perf-32205.map       [.] src_0xf70b0
     0.02%  translator  perf-32205.map       [.] src_0xf4694
     0.02%  translator  perf-32205.map       [.] src_0x26be48
     0.02%  translator  perf-32205.map       [.] src_0x52b8e8
     0.02%  translator  perf-32205.map       [.] src_0x26ad68
     0.02%  translator  perf-32205.map       [.] src_0x26ad30
     0.02%  translator  perf-32205.map       [.] src_0xf70dc
     0.02%  translator  perf-32205.map       [.] src_0x33d684
     0.02%  translator  perf-32205.map       [.] src_0x2c3e80
     0.02%  translator  perf-32205.map       [.] src_0x528910
     0.02%  translator  perf-32205.map       [.] src_0x52a394
     0.02%  translator  perf-32205.map       [.] src_0x26a1c8
     0.02%  translator  perf-32205.map       [.] src_0x5288ec
     0.02%  translator  perf-32205.map       [.] src_0x26ab04
     0.02%  translator  perf-32205.map       [.] src_0xf7030
     0.02%  translator  perf-32205.map       [.] src_0xdb09c
     0.02%  translator  perf-32205.map       [.] src_0x33d49c
     0.02%  translator  perf-32205.map       [.] src_0x52898c
     0.02%  translator  perf-32205.map       [.] src_0x36567c
     0.02%  translator  perf-32205.map       [.] src_0xf7024
     0.02%  translator  perf-32205.map       [.] src_0xf4648
     0.02%  translator  perf-32205.map       [.] src_0x528920
     0.02%  translator  perf-32205.map       [.] src_0x529fb4
     0.02%  translator  perf-32205.map       [.] src_0x52a63c
     0.02%  translator  perf-32205.map       [.] src_0xdaf14
     0.02%  translator  perf-32205.map       [.] src_0x364bfc
     0.02%  translator  perf-32205.map       [.] src_0x52892c
     0.02%  translator  perf-32205.map       [.] src_0x529fb8
     0.02%  translator  perf-32205.map       [.] src_0x528ae0
     0.02%  translator  perf-32205.map       [.] src_0x528958
     0.02%  translator  perf-32205.map       [.] src_0x529f24
     0.02%  translator  [kernel.kallsyms]    [k] swapgs_restore_regs_and_return_to_usermode
     0.02%  translator  perf-32205.map       [.] src_0x52a564
     0.01%  translator  perf-32205.map       [.] src_0x52a578
     0.01%  translator  perf-32205.map       [.] src_0x364bf0
     0.01%  translator  perf-32205.map       [.] src_0x26e6ac
     0.01%  translator  perf-32205.map       [.] src_0x26a1a0
     0.01%  translator  perf-32205.map       [.] src_0xf70d0
     0.01%  translator  perf-32205.map       [.] src_0x201fa8
     0.01%  translator  perf-32205.map       [.] src_0xde428
     0.01%  translator  perf-32205.map       [.] src_0xf465c
     0.01%  translator  perf-32205.map       [.] src_0x529ec0
     0.01%  translator  perf-32205.map       [.] src_0x365650
     0.01%  translator  perf-32205.map       [.] src_0x365684
     0.01%  translator  perf-32205.map       [.] src_0x528804
     0.01%  translator  perf-32205.map       [.] src_0x364d54
     0.01%  translator  perf-32205.map       [.] src_0xf3f00
     0.01%  translator  perf-32205.map       [.] src_0x52a570
     0.01%  translator  perf-32205.map       [.] src_0x52a2f4
     0.01%  translator  perf-32205.map       [.] src_0x14b0cc
     0.01%  translator  perf-32205.map       [.] src_0x2c2ed8
     0.01%  translator  perf-32205.map       [.] src_0x5289bc
     0.01%  translator  perf-32205.map       [.] src_0x26aafc
     0.01%  translator  perf-32205.map       [.] src_0x33d4ac
     0.01%  translator  perf-32205.map       [.] src_0x33dcf4
     0.01%  translator  perf-32205.map       [.] src_0x5288dc
     0.01%  translator  perf-32205.map       [.] src_0x3649fc
     0.01%  translator  perf-32205.map       [.] src_0xf3f24
     0.01%  translator  perf-32205.map       [.] src_0x52a130
     0.01%  translator  perf-32205.map       [.] src_0x2c23f4
     0.01%  translator  perf-32205.map       [.] src_0x528904
     0.01%  translator  perf-32205.map       [.] src_0x364a28
     0.01%  translator  perf-32205.map       [.] src_0x35d820
     0.01%  translator  perf-32205.map       [.] src_0xde754
     0.01%  translator  perf-32205.map       [.] src_0xf704c
     0.01%  translator  perf-32205.map       [.] src_0x529f60
     0.01%  translator  perf-32205.map       [.] src_0xf4650
     0.01%  translator  perf-32205.map       [.] src_0xf7040
     0.01%  translator  perf-32205.map       [.] src_0x2f7508
     0.01%  translator  perf-32205.map       [.] src_0x2f74c4
     0.01%  translator  perf-32205.map       [.] src_0x2bf8b4
     0.01%  translator  perf-32205.map       [.] src_0x59cfc
     0.01%  translator  perf-32205.map       [.] src_0x358db0
     0.01%  translator  perf-32205.map       [.] src_0x528c54
     0.01%  translator  [kernel.kallsyms]    [k] native_write_msr
     0.01%  translator  perf-32205.map       [.] src_0x365648
     0.01%  translator  perf-32205.map       [.] src_0xf4638
     0.01%  translator  perf-32205.map       [.] src_0x26c41c
     0.01%  translator  perf-32205.map       [.] src_0x52a0b0
     0.01%  translator  perf-32205.map       [.] src_0xf0ec0
     0.01%  translator  perf-32205.map       [.] src_0x33d544
     0.01%  translator  perf-32205.map       [.] src_0xf1024
     0.01%  translator  perf-32205.map       [.] src_0x33d620
     0.01%  translator  perf-32205.map       [.] src_0x52a744
     0.01%  translator  perf-32205.map       [.] src_0x2f6d1c
     0.01%  translator  perf-32205.map       [.] src_0x1f094
     0.01%  translator  perf-32205.map       [.] src_0x52a314
     0.01%  translator  perf-32205.map       [.] src_0x3649d4
     0.01%  translator  perf-32205.map       [.] src_0x11016c
     0.01%  translator  perf-32205.map       [.] src_0x33d46c
     0.01%  translator  perf-32205.map       [.] src_0x33d454
     0.01%  translator  perf-32205.map       [.] src_0x528c4c
     0.01%  translator  perf-32205.map       [.] src_0x20202c
     0.01%  translator  perf-32205.map       [.] src_0x52a258
     0.01%  translator  perf-32205.map       [.] src_0x529d8c
     0.01%  translator  perf-32205.map       [.] src_0x52f640
     0.01%  translator  perf-32205.map       [.] src_0x2f6ce8
     0.01%  translator  perf-32205.map       [.] src_0xde95c
     0.01%  translator  perf-32205.map       [.] src_0x201a00
     0.01%  translator  perf-32205.map       [.] src_0x33d39c
     0.01%  translator  perf-32205.map       [.] src_0x33d444
     0.01%  translator  perf-32205.map       [.] src_0x52a4b0
     0.01%  translator  perf-32205.map       [.] src_0x39f85c
     0.01%  translator  perf-32205.map       [.] src_0x13f7f4
     0.01%  translator  perf-32205.map       [.] src_0x2f7618
     0.01%  translator  perf-32205.map       [.] src_0x14b0bc
     0.01%  translator  perf-32205.map       [.] src_0x33d4fc
     0.01%  translator  perf-32205.map       [.] src_0xa0b6c
     0.01%  translator  perf-32205.map       [.] src_0x33d2c4
     0.01%  translator  perf-32205.map       [.] src_0x2f6c9c
     0.01%  translator  perf-32205.map       [.] src_0x528970
     0.01%  translator  perf-32205.map       [.] src_0x1102e8
     0.01%  translator  perf-32205.map       [.] src_0x133778
     0.01%  translator  perf-32205.map       [.] src_0x201760
     0.01%  translator  [kernel.kallsyms]    [k] run_timer_softirq
     0.01%  translator  perf-32205.map       [.] src_0x5271ac
     0.01%  translator  perf-32205.map       [.] src_0x2b402c
     0.01%  translator  perf-32205.map       [.] src_0xf6f5c
     0.01%  translator  perf-32205.map       [.] src_0x529eac
     0.01%  translator  perf-32205.map       [.] src_0x52a154
     0.01%  translator  perf-32205.map       [.] src_0x52f654
     0.01%  translator  perf-32205.map       [.] src_0x13641c
     0.01%  translator  perf-32205.map       [.] src_0x33d61c
     0.01%  translator  perf-32205.map       [.] src_0x26aa1c
     0.01%  translator  perf-32205.map       [.] src_0x26a1c4
     0.01%  translator  perf-32205.map       [.] src_0xf3ed8
     0.01%  translator  perf-32205.map       [.] src_0x20c824
     0.01%  translator  perf-32205.map       [.] src_0x5271b8
     0.01%  translator  perf-32205.map       [.] src_0x52a994
     0.01%  translator  perf-32205.map       [.] src_0x528840
     0.01%  translator  perf-32205.map       [.] src_0x14b2e4
     0.01%  translator  perf-32205.map       [.] src_0x52a4b8
     0.01%  translator  perf-32205.map       [.] src_0x1363a0
     0.01%  translator  perf-32205.map       [.] src_0x2f7654
     0.01%  translator  perf-32205.map       [.] src_0x52a334
     0.01%  translator  perf-32205.map       [.] src_0x364b68
     0.01%  translator  perf-32205.map       [.] src_0x118c48
     0.01%  translator  perf-32205.map       [.] src_0x17b568
     0.00%  translator  perf-32205.map       [.] src_0x52f5a8
     0.00%  translator  perf-32205.map       [.] src_0x13f7c8
     0.00%  translator  [kernel.kallsyms]    [k] __softirqentry_text_start
     0.00%  translator  perf-32205.map       [.] src_0x142e14
     0.00%  translator  perf-32205.map       [.] src_0x3669d4
     0.00%  translator  perf-32205.map       [.] src_0x52f684
     0.00%  translator  perf-32205.map       [.] src_0x364b88
     0.00%  translator  perf-32205.map       [.] src_0x1337c0
     0.00%  translator  perf-32205.map       [.] src_0x1a0360
     0.00%  translator  perf-32205.map       [.] src_0x528810
     0.00%  translator  perf-32205.map       [.] src_0x528938
     0.00%  translator  perf-32205.map       [.] src_0x29a680
     0.00%  translator  perf-32205.map       [.] src_0x14227c
     0.00%  translator  perf-32205.map       [.] src_0x3db7f4
     0.00%  translator  perf-32205.map       [.] src_0x364bc0
     0.00%  translator  perf-32205.map       [.] src_0x3a2d68
     0.00%  translator  perf-32205.map       [.] src_0x1f090
     0.00%  translator  perf-32205.map       [.] src_0x52aadc
     0.00%  translator  perf-32205.map       [.] src_0x3669b4
     0.00%  translator  perf-32205.map       [.] src_0x52a980
     0.00%  translator  perf-32205.map       [.] src_0x3cb8c0
     0.00%  translator  perf-32205.map       [.] src_0x318ab4
     0.00%  translator  perf-32205.map       [.] src_0x39d194
     0.00%  translator  perf-32205.map       [.] src_0x1363ec
     0.00%  translator  perf-32205.map       [.] src_0x2a1a3c
     0.00%  translator  perf-32205.map       [.] src_0x2bf8f4
     0.00%  translator  perf-32205.map       [.] src_0x368c9c
     0.00%  translator  perf-32205.map       [.] src_0x1f1a8
     0.00%  translator  perf-32205.map       [.] src_0x3669f4
     0.00%  translator  perf-32205.map       [.] src_0x2bf904
     0.00%  translator  perf-32205.map       [.] src_0x52a888
     0.00%  translator  perf-32205.map       [.] src_0x293fe4
     0.00%  translator  perf-32205.map       [.] src_0x293f98
     0.00%  translator  [kernel.kallsyms]    [k] trigger_load_balance
     0.00%  translator  perf-32205.map       [.] src_0x52a638
     0.00%  translator  perf-32205.map       [.] src_0x52899c
     0.00%  translator  perf-32205.map       [.] src_0x2f746c
     0.00%  translator  perf-32205.map       [.] src_0x13f7e4
     0.00%  translator  perf-32205.map       [.] src_0x2bef74
     0.00%  translator  [kernel.kallsyms]    [k] do_syscall_64
     0.00%  translator  perf-32205.map       [.] src_0x5279f0
     0.00%  translator  perf-32205.map       [.] src_0x52f618
     0.00%  translator  perf-32205.map       [.] src_0x52a87c
     0.00%  translator  perf-32205.map       [.] src_0x1a0188
     0.00%  translator  perf-32205.map       [.] src_0x2a1e64
     0.00%  translator  perf-32205.map       [.] src_0x52f724
     0.00%  translator  perf-32205.map       [.] src_0x2f72dc
     0.00%  translator  perf-32205.map       [.] src_0x1a01b4
     0.00%  translator  perf-32205.map       [.] src_0x13644c
     0.00%  translator  perf-32205.map       [.] src_0x366ad0
     0.00%  translator  perf-32205.map       [.] src_0x52f67c
     0.00%  translator  perf-32205.map       [.] src_0x1a0354
     0.00%  translator  perf-32205.map       [.] src_0x3db7d4
     0.00%  translator  perf-32205.map       [.] src_0x293fd4
     0.00%  translator  perf-32205.map       [.] src_0x2a1a34
     0.00%  translator  perf-32205.map       [.] src_0x31a7fc
     0.00%  translator  perf-32205.map       [.] src_0x142e48
     0.00%  translator  perf-32205.map       [.] src_0x31a908
     0.00%  translator  perf-32205.map       [.] src_0x13e5a4
     0.00%  translator  perf-32205.map       [.] src_0x28f500
     0.00%  translator  perf-32205.map       [.] src_0x529e5c
     0.00%  translator  perf-32205.map       [.] src_0x3cf9a8
     0.00%  translator  perf-32205.map       [.] src_0x1365b8
     0.00%  translator  perf-32205.map       [.] src_0x2f6e4c
     0.00%  translator  perf-32205.map       [.] src_0x1f088
     0.00%  translator  perf-32205.map       [.] src_0x366ae4
     0.00%  translator  perf-32205.map       [.] src_0x1a0120
     0.00%  translator  perf-32205.map       [.] src_0x366bb0
     0.00%  translator  perf-32205.map       [.] src_0x13e6d8
     0.00%  translator  perf-32205.map       [.] src_0x3682a4
     0.00%  translator  perf-32205.map       [.] src_0x2bdb5c
     0.00%  translator  perf-32205.map       [.] src_0x39d1cc
     0.00%  translator  perf-32205.map       [.] src_0x528834
     0.00%  translator  perf-32205.map       [.] src_0x2f7314
     0.00%  translator  perf-32205.map       [.] src_0x294a10
     0.00%  translator  perf-32205.map       [.] src_0x52a528
     0.00%  translator  perf-32205.map       [.] src_0x52a10c
     0.00%  translator  perf-32205.map       [.] src_0x1337f0
     0.00%  translator  perf-32205.map       [.] src_0x2a9978
     0.00%  translator  perf-32205.map       [.] src_0x2949c8
     0.00%  translator  perf-32205.map       [.] src_0x52a930
     0.00%  translator  perf-32205.map       [.] src_0x368254
     0.00%  translator  perf-32205.map       [.] src_0x368220
     0.00%  translator  perf-32205.map       [.] src_0x294a20
     0.00%  translator  perf-32205.map       [.] src_0x3193cc
     0.00%  translator  perf-32205.map       [.] src_0x293fc8
     0.00%  translator  perf-32205.map       [.] src_0x52f5d4
     0.00%  translator  perf-32205.map       [.] src_0x133794
     0.00%  translator  perf-32205.map       [.] src_0x294a3c
     0.00%  translator  perf-32205.map       [.] src_0x2f7600
     0.00%  translator  perf-32205.map       [.] src_0x1a034c
     0.00%  translator  perf-32205.map       [.] src_0x3db990
     0.00%  translator  perf-32205.map       [.] src_0x368218
     0.00%  translator  perf-32205.map       [.] src_0x3654c0
     0.00%  translator  perf-32205.map       [.] src_0x2c4408
     0.00%  translator  perf-32205.map       [.] src_0x52a124
     0.00%  translator  perf-32205.map       [.] src_0x1a0304
     0.00%  translator  perf-32205.map       [.] src_0x142160
     0.00%  translator  perf-32205.map       [.] src_0xde408
     0.00%  translator  perf-32205.map       [.] src_0x17b558
     0.00%  translator  perf-32205.map       [.] src_0xa0b90
     0.00%  translator  perf-32205.map       [.] src_0x290b28
     0.00%  translator  perf-32205.map       [.] src_0x110140
     0.00%  translator  perf-32205.map       [.] src_0x1f0b8
     0.00%  translator  perf-32205.map       [.] src_0x52a4c0
     0.00%  translator  perf-32205.map       [.] src_0x52a12c
     0.00%  translator  perf-32205.map       [.] src_0x293fcc
     0.00%  translator  perf-32205.map       [.] src_0x368260
     0.00%  translator  perf-32205.map       [.] src_0x1431c0
     0.00%  translator  perf-32205.map       [.] src_0x2a19a0
     0.00%  translator  perf-32205.map       [.] src_0x17b548
     0.00%  translator  perf-32205.map       [.] src_0x118600
     0.00%  translator  perf-32205.map       [.] src_0x29a534
     0.00%  translator  perf-32205.map       [.] src_0x52aa60
     0.00%  translator  perf-32205.map       [.] src_0x52f3d0
     0.00%  translator  perf-32205.map       [.] src_0xf25a0
     0.00%  translator  perf-32205.map       [.] src_0x358d48
     0.00%  translator  perf-32205.map       [.] src_0xf22e4
     0.00%  translator  perf-32205.map       [.] src_0xf2300
     0.00%  translator  perf-32205.map       [.] src_0x13fb94
     0.00%  translator  perf-32205.map       [.] src_0xa0b94
     0.00%  translator  perf-32205.map       [.] src_0x52a328
     0.00%  translator  perf-32205.map       [.] src_0x1337d0
     0.00%  translator  [kernel.kallsyms]    [k] irq_exit
     0.00%  translator  perf-32205.map       [.] src_0x17b550
     0.00%  translator  perf-32205.map       [.] src_0x166db8
     0.00%  translator  perf-32205.map       [.] src_0x52a62c
     0.00%  translator  perf-32205.map       [.] src_0x52a920
     0.00%  translator  perf-32205.map       [.] src_0x52f3a0
     0.00%  translator  perf-32205.map       [.] src_0x143198
     0.00%  translator  perf-32205.map       [.] src_0x28d5c8
     0.00%  translator  perf-32205.map       [.] src_0x2bdb84
     0.00%  translator  perf-32205.map       [.] src_0x3681c4
     0.00%  translator  perf-32205.map       [.] src_0x52a784
     0.00%  translator  perf-32205.map       [.] src_0x192278
     0.00%  translator  perf-32205.map       [.] src_0x3669a8
     0.00%  translator  perf-32205.map       [.] src_0x142e98
     0.00%  translator  perf-32205.map       [.] src_0x1eee8
     0.00%  translator  perf-32205.map       [.] src_0x358d98
     0.00%  translator  perf-32205.map       [.] src_0x1337cc
     0.00%  translator  perf-32205.map       [.] src_0x1a05cc
     0.00%  translator  perf-32205.map       [.] src_0x1a0570
     0.00%  translator  perf-32205.map       [.] src_0x1365e4
     0.00%  translator  perf-32205.map       [.] src_0x2befac
     0.00%  translator  perf-32205.map       [.] src_0x294008
     0.00%  translator  perf-32205.map       [.] src_0x294a00
     0.00%  translator  perf-32205.map       [.] src_0x1421ac
     0.00%  translator  perf-32205.map       [.] src_0x142c28
     0.00%  translator  perf-32205.map       [.] src_0x3a2db4
     0.00%  translator  perf-32205.map       [.] src_0x192180
     0.00%  translator  perf-32205.map       [.] src_0x13fa84
     0.00%  translator  perf-32205.map       [.] src_0x1a5a78
     0.00%  translator  perf-32205.map       [.] src_0x13fb48
     0.00%  translator  perf-32205.map       [.] src_0x19226c
     0.00%  translator  perf-32205.map       [.] src_0x3addd0
     0.00%  translator  perf-32205.map       [.] src_0x208364
     0.00%  translator  perf-32205.map       [.] src_0x528874
     0.00%  translator  perf-32205.map       [.] src_0x13e594
     0.00%  translator  perf-32205.map       [.] src_0x17b560
     0.00%  translator  perf-32205.map       [.] src_0x290b8c
     0.00%  translator  perf-32205.map       [.] src_0x142e70
     0.00%  translator  perf-32205.map       [.] src_0x52a7f4
     0.00%  translator  perf-32205.map       [.] src_0x1431c8
     0.00%  translator  perf-32205.map       [.] src_0x13d7d4
     0.00%  translator  perf-32205.map       [.] src_0x28d570
     0.00%  translator  perf-32205.map       [.] src_0x2bf8f8
     0.00%  translator  [kernel.kallsyms]    [k] find_busiest_group
     0.00%  translator  perf-32205.map       [.] src_0x319164
     0.00%  translator  perf-32205.map       [.] src_0x52a0f4
     0.00%  translator  perf-32205.map       [.] src_0x52a1f0
     0.00%  translator  perf-32205.map       [.] src_0x13e5a8
     0.00%  translator  perf-32205.map       [.] src_0xf2678
     0.00%  translator  perf-32205.map       [.] src_0x2f6e1c
     0.00%  translator  perf-32205.map       [.] src_0x1f0c4
     0.00%  translator  perf-32205.map       [.] src_0x52a8b8
     0.00%  translator  perf-32205.map       [.] src_0x28d588
     0.00%  translator  perf-32205.map       [.] src_0x39f7c8
     0.00%  translator  perf-32205.map       [.] src_0x52a8a0
     0.00%  translator  perf-32205.map       [.] src_0x52aaac
     0.00%  translator  perf-32205.map       [.] src_0x201af4
     0.00%  translator  perf-32205.map       [.] src_0x52a780
     0.00%  translator  perf-32205.map       [.] src_0x11f324
     0.00%  translator  perf-32205.map       [.] src_0x1a0330
     0.00%  translator  perf-32205.map       [.] src_0x290b48
     0.00%  translator  perf-32205.map       [.] src_0x118bf0
     0.00%  translator  perf-32205.map       [.] src_0x528820
     0.00%  translator  perf-32205.map       [.] src_0x358d60
     0.00%  translator  perf-32205.map       [.] src_0x1421bc
     0.00%  translator  perf-32205.map       [.] src_0x1d58d8
     0.00%  translator  perf-32205.map       [.] src_0x358d50
     0.00%  translator  perf-32205.map       [.] src_0x13e5b8
     0.00%  translator  perf-32205.map       [.] src_0x52f61c
     0.00%  translator  perf-32205.map       [.] src_0x3681e4
     0.00%  translator  perf-32205.map       [.] src_0x1c3504
     0.00%  translator  perf-32205.map       [.] src_0x166d78
     0.00%  translator  perf-32205.map       [.] src_0x2c4474
     0.00%  translator  perf-32205.map       [.] src_0x2beee0
     0.00%  translator  perf-32205.map       [.] src_0x142e84
     0.00%  translator  perf-32205.map       [.] src_0x2f6c94
     0.00%  translator  perf-32205.map       [.] src_0x28f30c
     0.00%  translator  perf-32205.map       [.] src_0x2c485c
     0.00%  translator  perf-32205.map       [.] src_0x2e1124
     0.00%  translator  perf-32205.map       [.] src_0x2a999c
     0.00%  translator  perf-32205.map       [.] src_0x28ed40
     0.00%  translator  perf-32205.map       [.] src_0x142148
     0.00%  translator  perf-32205.map       [.] src_0x39f8a0
     0.00%  translator  perf-32205.map       [.] src_0x52a6d8
     0.00%  translator  perf-32205.map       [.] src_0x52a1e4
     0.00%  translator  perf-32205.map       [.] src_0x3ba6a4
     0.00%  translator  [kernel.kallsyms]    [k] perf_event_task_tick
     0.00%  translator  perf-32205.map       [.] src_0x2bf8c4
     0.00%  translator  perf-32205.map       [.] src_0x39f7fc
     0.00%  translator  perf-32205.map       [.] src_0x52f3ac
     0.00%  translator  perf-32205.map       [.] src_0x36696c
     0.00%  translator  perf-32205.map       [.] src_0x52a6cc
     0.00%  translator  perf-32205.map       [.] src_0x14b100
     0.00%  translator  perf-32205.map       [.] src_0x3d276c
     0.00%  translator  perf-32205.map       [.] src_0x13fbc0
     0.00%  translator  perf-32205.map       [.] src_0x1421c0
     0.00%  translator  perf-32205.map       [.] src_0x294a44
     0.00%  translator  perf-32205.map       [.] src_0x142e74
     0.00%  translator  perf-32205.map       [.] src_0x142178
     0.00%  translator  [kernel.kallsyms]    [k] syscall_return_via_sysret
     0.00%  translator  perf-32205.map       [.] src_0x2de760
     0.00%  translator  perf-32205.map       [.] src_0x2e1118
     0.00%  translator  perf-32205.map       [.] src_0x39d150
     0.00%  translator  perf-32205.map       [.] src_0x11f31c
     0.00%  translator  perf-32205.map       [.] src_0x318bc8
     0.00%  translator  perf-32205.map       [.] src_0x29a868
     0.00%  translator  perf-32205.map       [.] src_0x2f7310
     0.00%  translator  perf-32205.map       [.] src_0x39d1f0
     0.00%  translator  perf-32205.map       [.] src_0x118c74
     0.00%  translator  perf-32205.map       [.] src_0x1431bc
     0.00%  translator  perf-32205.map       [.] src_0x3ba730
     0.00%  translator  perf-32205.map       [.] src_0x52a3ec
     0.00%  translator  perf-32205.map       [.] src_0x1c35d4
     0.00%  translator  perf-32205.map       [.] src_0x3dcd38
     0.00%  translator  perf-32205.map       [.] src_0x142e38
     0.00%  translator  perf-32205.map       [.] src_0x2de438
     0.00%  translator  perf-32205.map       [.] src_0x5279ac
     0.00%  translator  perf-32205.map       [.] src_0x52f2fc
     0.00%  translator  perf-32205.map       [.] src_0x28d5b0
