# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:ppp'
# Event count (approx.): 7488323981209
#
# Overhead  Command     Shared Object        Symbol                                        
# ........  ..........  ...................  ..............................................
#
     0.14%  translator  perf-32205.map       [.] src_0x2086b8
     0.14%  translator  perf-32205.map       [.] src_0x26a500
     0.14%  translator  perf-32205.map       [.] src_0x20855c
     0.14%  translator  perf-32205.map       [.] src_0xf6f58
     0.14%  translator  perf-32205.map       [.] src_0x2c22fc
     0.14%  translator  perf-32205.map       [.] src_0x5287f4
     0.14%  translator  perf-32205.map       [.] src_0x33dba8
     0.13%  translator  perf-32205.map       [.] src_0x4363a4
     0.13%  translator  perf-32205.map       [.] src_0x26a4fc
     0.13%  translator  perf-32205.map       [.] src_0xf6f74
     0.13%  translator  perf-32205.map       [.] src_0x26a47c
     0.13%  translator  perf-32205.map       [.] src_0x2b0fcc
     0.13%  translator  perf-32205.map       [.] src_0x358cb4
     0.13%  translator  perf-32205.map       [.] src_0x3b393c
     0.13%  translator  perf-32205.map       [.] src_0x201998
     0.13%  translator  perf-32205.map       [.] src_0x437c4c
     0.13%  translator  perf-32205.map       [.] src_0x358cbc
     0.13%  translator  perf-32205.map       [.] src_0x15c43c
     0.13%  translator  perf-32205.map       [.] src_0x2b5254
     0.13%  translator  perf-32205.map       [.] src_0x34eb1c
     0.13%  translator  perf-32205.map       [.] src_0x1f6f0
     0.13%  translator  perf-32205.map       [.] src_0x52b878
     0.13%  translator  perf-32205.map       [.] src_0x4f031c
     0.13%  translator  perf-32205.map       [.] src_0x4f0a64
     0.13%  translator  perf-32205.map       [.] src_0x5287b8
     0.13%  translator  perf-32205.map       [.] src_0xf6f6c
     0.13%  translator  perf-32205.map       [.] src_0x4f0a60
     0.13%  translator  perf-32205.map       [.] src_0xdb3fc
     0.13%  translator  perf-32205.map       [.] src_0x437c40
     0.12%  translator  perf-32205.map       [.] src_0x5287c0
     0.12%  translator  perf-32205.map       [.] src_0x3b3a60
     0.12%  translator  perf-32205.map       [.] src_0x34ea4c
     0.12%  translator  perf-32205.map       [.] src_0x15c424
     0.12%  translator  perf-32205.map       [.] src_0x33db44
     0.12%  translator  perf-32205.map       [.] src_0x4f018c
     0.12%  translator  perf-32205.map       [.] src_0x52b884
     0.12%  translator  perf-32205.map       [.] src_0x52c090
     0.12%  translator  perf-32205.map       [.] src_0x2c3e4c
     0.12%  translator  perf-32205.map       [.] src_0x364a0c
     0.12%  translator  perf-32205.map       [.] src_0xf6f4c
     0.12%  translator  perf-32205.map       [.] src_0xdb3e4
     0.12%  translator  perf-32205.map       [.] src_0x1ed74
     0.12%  translator  perf-32205.map       [.] src_0x4f1778
     0.12%  translator  perf-32205.map       [.] src_0x4f038c
     0.12%  translator  perf-32205.map       [.] src_0x20c798
     0.12%  translator  perf-32205.map       [.] src_0x208374
     0.12%  translator  perf-32205.map       [.] src_0x34e854
     0.12%  translator  perf-32205.map       [.] src_0x26a4c4
     0.12%  translator  perf-32205.map       [.] src_0x33dbcc
     0.12%  translator  perf-32205.map       [.] src_0x35d9bc
     0.12%  translator  perf-32205.map       [.] src_0x2b0ee4
     0.12%  translator  perf-32205.map       [.] src_0x3b69f4
     0.12%  translator  perf-32205.map       [.] src_0x3abde4
     0.12%  translator  perf-32205.map       [.] src_0x5287b0
     0.12%  translator  perf-32205.map       [.] src_0x35d954
     0.12%  translator  perf-32205.map       [.] src_0x2b0efc
     0.12%  translator  perf-32205.map       [.] src_0x2b4cb4
     0.12%  translator  perf-32205.map       [.] src_0x4f0328
     0.12%  translator  perf-32205.map       [.] src_0x2bd5a8
     0.12%  translator  perf-32205.map       [.] src_0xf6fec
     0.12%  translator  perf-32205.map       [.] src_0x2bd350
     0.12%  translator  perf-32205.map       [.] src_0x2c27fc
     0.12%  translator  perf-32205.map       [.] src_0x368b58
     0.12%  translator  perf-32205.map       [.] src_0x358d1c
     0.12%  translator  perf-32205.map       [.] src_0xf6f80
     0.11%  translator  perf-32205.map       [.] src_0x33db78
     0.11%  translator  perf-32205.map       [.] src_0xdb410
     0.11%  translator  perf-32205.map       [.] src_0x3b3a58
     0.11%  translator  perf-32205.map       [.] src_0x358ccc
     0.11%  translator  perf-32205.map       [.] src_0x35d9a8
     0.11%  translator  perf-32205.map       [.] src_0x2c281c
     0.11%  translator  perf-32205.map       [.] src_0x5287e8
     0.11%  translator  perf-32205.map       [.] src_0x2086fc
     0.11%  translator  perf-32205.map       [.] src_0x3b6a38
     0.11%  translator  perf-32205.map       [.] src_0x3de590
     0.11%  translator  translator           [.] get_value
     0.11%  translator  perf-32205.map       [.] src_0x4f167c
     0.11%  translator  perf-32205.map       [.] src_0x34e8bc
     0.11%  translator  perf-32205.map       [.] src_0x2bd1d4
     0.11%  translator  perf-32205.map       [.] src_0x33d0b8
     0.11%  translator  perf-32205.map       [.] src_0xf6f64
     0.11%  translator  perf-32205.map       [.] src_0x4f1198
     0.11%  translator  perf-32205.map       [.] src_0x33cd88
     0.11%  translator  perf-32205.map       [.] src_0x2bd5d0
     0.11%  translator  perf-32205.map       [.] src_0x35d7f8
     0.11%  translator  perf-32205.map       [.] src_0x34f2b0
     0.11%  translator  perf-32205.map       [.] src_0x4f11fc
     0.11%  translator  perf-32205.map       [.] src_0x371e80
     0.11%  translator  perf-32205.map       [.] src_0x3de5a4
     0.11%  translator  perf-32205.map       [.] src_0x52b98c
     0.11%  translator  perf-32205.map       [.] src_0x2c27ec
     0.11%  translator  perf-32205.map       [.] src_0x437c28
     0.11%  translator  perf-32205.map       [.] src_0x2b54d4
     0.11%  translator  perf-32205.map       [.] src_0x208c50
     0.11%  translator  perf-32205.map       [.] src_0x358424
     0.11%  translator  perf-32205.map       [.] src_0x2c3e1c
     0.11%  translator  perf-32205.map       [.] src_0x4f1744
     0.11%  translator  perf-32205.map       [.] src_0x2bd214
     0.11%  translator  perf-32205.map       [.] src_0x2bd1f8
     0.11%  translator  perf-32205.map       [.] src_0x3124f4
     0.11%  translator  perf-32205.map       [.] src_0x20074
     0.11%  translator  perf-32205.map       [.] src_0x34e93c
     0.11%  translator  perf-32205.map       [.] src_0x52b984
     0.11%  translator  perf-32205.map       [.] src_0x2bd364
     0.11%  translator  perf-32205.map       [.] src_0x33cd68
     0.11%  translator  perf-32205.map       [.] src_0x4f032c
     0.11%  translator  perf-32205.map       [.] src_0xdb3ac
     0.11%  translator  perf-32205.map       [.] src_0x33dbe8
     0.11%  translator  perf-32205.map       [.] src_0x358d28
     0.11%  translator  perf-32205.map       [.] src_0x4f0a94
     0.11%  translator  perf-32205.map       [.] src_0x52b8c4
     0.11%  translator  translator           [.] execute_in_guest_context
     0.10%  translator  perf-32205.map       [.] src_0x4f1854
     0.10%  translator  perf-32205.map       [.] src_0x34e9f8
     0.10%  translator  perf-32205.map       [.] src_0x2b4a9c
     0.10%  translator  perf-32205.map       [.] src_0x207a54
     0.10%  translator  perf-32205.map       [.] src_0x4f0fec
     0.10%  translator  perf-32205.map       [.] src_0x52c0bc
     0.10%  translator  perf-32205.map       [.] src_0xdb49c
     0.10%  translator  perf-32205.map       [.] src_0x371e94
     0.10%  translator  perf-32205.map       [.] src_0x33cda8
     0.10%  translator  perf-32205.map       [.] src_0x3b3948
     0.10%  translator  perf-32205.map       [.] src_0x52c0b4
     0.10%  translator  perf-32205.map       [.] src_0x34f240
     0.10%  translator  perf-32205.map       [.] src_0x4f118c
     0.10%  translator  perf-32205.map       [.] src_0x34f248
     0.10%  translator  perf-32205.map       [.] src_0x26a468
     0.10%  translator  perf-32205.map       [.] src_0x34f294
     0.10%  translator  perf-32205.map       [.] src_0x2c2810
     0.10%  translator  perf-32205.map       [.] src_0x4f0b14
     0.10%  translator  perf-32205.map       [.] src_0x2c3f54
     0.10%  translator  perf-32205.map       [.] src_0x4f1114
     0.10%  translator  perf-32205.map       [.] src_0xf6fe4
     0.10%  translator  perf-32205.map       [.] src_0x34ea20
     0.10%  translator  perf-32205.map       [.] src_0x35d7f4
     0.10%  translator  perf-32205.map       [.] src_0x3b3940
     0.10%  translator  perf-32205.map       [.] src_0x35da08
     0.10%  translator  perf-32205.map       [.] src_0x4f1694
     0.10%  translator  perf-32205.map       [.] src_0x265860
     0.10%  translator  perf-32205.map       [.] src_0x358438
     0.10%  translator  perf-32205.map       [.] src_0x358ac8
     0.10%  translator  perf-32205.map       [.] src_0x20a210
     0.10%  translator  perf-32205.map       [.] src_0x2b4cc4
     0.10%  translator  perf-32205.map       [.] src_0x364ba8
     0.10%  translator  perf-32205.map       [.] src_0x4f1850
     0.09%  translator  perf-32205.map       [.] src_0x358d14
     0.09%  translator  perf-32205.map       [.] src_0x358a28
     0.09%  translator  perf-32205.map       [.] src_0x4f0b78
     0.09%  translator  perf-32205.map       [.] src_0x4f1770
     0.09%  translator  perf-32205.map       [.] src_0x358ad0
     0.09%  translator  perf-32205.map       [.] src_0x4f0adc
     0.09%  translator  perf-32205.map       [.] src_0x34ea24
     0.09%  translator  perf-32205.map       [.] src_0x203c38
     0.09%  translator  perf-32205.map       [.] src_0x34f270
     0.09%  translator  perf-32205.map       [.] src_0x2c1e38
     0.09%  translator  perf-32205.map       [.] src_0x34ea14
     0.09%  translator  perf-32205.map       [.] src_0x35d80c
     0.09%  translator  perf-32205.map       [.] src_0xdb4a8
     0.09%  translator  perf-32205.map       [.] src_0x52ba08
     0.09%  translator  perf-32205.map       [.] src_0x20084
     0.09%  translator  perf-32205.map       [.] src_0x1e9cc
     0.09%  translator  perf-32205.map       [.] src_0x34f218
     0.09%  translator  perf-32205.map       [.] src_0x4f0b10
     0.09%  translator  perf-32205.map       [.] src_0x34eaa0
     0.09%  translator  perf-32205.map       [.] src_0x12d00c
     0.09%  translator  perf-32205.map       [.] src_0xf7098
     0.09%  translator  perf-32205.map       [.] src_0xfbc88
     0.09%  translator  perf-32205.map       [.] src_0x26e65c
     0.09%  translator  perf-32205.map       [.] src_0x12cef4
     0.09%  translator  perf-32205.map       [.] src_0x33d098
     0.09%  translator  perf-32205.map       [.] src_0xdb4b0
     0.09%  translator  perf-32205.map       [.] src_0x33dbc4
     0.09%  translator  perf-32205.map       [.] src_0x2b4a78
     0.09%  translator  perf-32205.map       [.] src_0x4f14f0
     0.09%  translator  perf-32205.map       [.] src_0x15c490
     0.09%  translator  perf-32205.map       [.] src_0x12d054
     0.09%  translator  perf-32205.map       [.] src_0xf6b78
     0.09%  translator  perf-32205.map       [.] src_0xdb3d8
     0.09%  translator  perf-32205.map       [.] src_0x26a54c
     0.09%  translator  perf-32205.map       [.] src_0x4f1530
     0.09%  translator  perf-32205.map       [.] src_0x4f16a8
     0.09%  translator  perf-32205.map       [.] src_0x4f1528
     0.09%  translator  perf-32205.map       [.] src_0x12cfa0
     0.09%  translator  perf-32205.map       [.] src_0x34f28c
     0.09%  translator  perf-32205.map       [.] src_0x528a34
     0.09%  translator  perf-32205.map       [.] src_0x33db70
     0.09%  translator  perf-32205.map       [.] src_0x34ec94
     0.09%  translator  perf-32205.map       [.] src_0x34f258
     0.09%  translator  perf-32205.map       [.] src_0x2c3ea8
     0.09%  translator  perf-32205.map       [.] src_0x2b5768
     0.09%  translator  perf-32205.map       [.] src_0x4f0ac8
     0.09%  translator  perf-32205.map       [.] src_0x2c3864
     0.08%  translator  perf-32205.map       [.] src_0x2c1ec8
     0.08%  translator  perf-32205.map       [.] src_0x4f1640
     0.08%  translator  perf-32205.map       [.] src_0xdb074
     0.08%  translator  perf-32205.map       [.] src_0xfbd34
     0.08%  translator  perf-32205.map       [.] src_0xfbcb0
     0.08%  translator  perf-32205.map       [.] src_0x35d7c0
     0.08%  translator  perf-32205.map       [.] src_0xfbca0
     0.08%  translator  perf-32205.map       [.] src_0x358cf0
     0.08%  translator  perf-32205.map       [.] src_0x1f6e8
     0.08%  translator  perf-32205.map       [.] src_0xf70a8
     0.08%  translator  perf-32205.map       [.] src_0x4f0b18
     0.08%  translator  perf-32205.map       [.] src_0x4f0b7c
     0.08%  translator  perf-32205.map       [.] src_0xf6ba0
     0.08%  translator  perf-32205.map       [.] src_0x4f1950
     0.08%  translator  perf-32205.map       [.] src_0xfbcc8
     0.08%  translator  perf-32205.map       [.] src_0x1e9c0
     0.08%  translator  perf-32205.map       [.] src_0x2c27c4
     0.08%  translator  perf-32205.map       [.] src_0xdb3f0
     0.08%  translator  perf-32205.map       [.] src_0x12cedc
     0.08%  translator  perf-32205.map       [.] src_0x2c1764
     0.08%  translator  perf-32205.map       [.] src_0x12cef0
     0.08%  translator  perf-32205.map       [.] src_0x2c3ef4
     0.08%  translator  perf-32205.map       [.] src_0x12d080
     0.08%  translator  perf-32205.map       [.] src_0x1f6ec
     0.08%  translator  perf-32205.map       [.] src_0xfbd18
     0.08%  translator  perf-32205.map       [.] src_0x12cff0
     0.08%  translator  perf-32205.map       [.] src_0x4f15d8
     0.08%  translator  perf-32205.map       [.] src_0x4f1660
     0.08%  translator  perf-32205.map       [.] src_0x265638
     0.08%  translator  perf-32205.map       [.] src_0x2b4aac
     0.08%  translator  perf-32205.map       [.] src_0x12ced4
     0.08%  translator  perf-32205.map       [.] src_0xfbcd8
     0.08%  translator  perf-32205.map       [.] src_0xf16cc
     0.08%  translator  perf-32205.map       [.] src_0x2c1884
     0.08%  translator  perf-32205.map       [.] src_0x12cf54
     0.08%  translator  perf-32205.map       [.] src_0x2c1740
     0.08%  translator  perf-32205.map       [.] src_0x368b28
     0.08%  translator  perf-32205.map       [.] src_0x109ca8
     0.08%  translator  perf-32205.map       [.] src_0x2c3934
     0.08%  translator  perf-32205.map       [.] src_0x33d2fc
     0.08%  translator  perf-32205.map       [.] src_0xde720
     0.08%  translator  perf-32205.map       [.] src_0x1ff94
     0.08%  translator  perf-32205.map       [.] src_0x4f0bdc
     0.08%  translator  perf-32205.map       [.] src_0x33cf14
     0.08%  translator  perf-32205.map       [.] src_0x12cffc
     0.08%  translator  perf-32205.map       [.] src_0xf4a24
     0.08%  translator  perf-32205.map       [.] src_0x34ea5c
     0.08%  translator  perf-32205.map       [.] src_0xf49fc
     0.08%  translator  perf-32205.map       [.] src_0x365c14
     0.08%  translator  perf-32205.map       [.] src_0x12d078
     0.08%  translator  perf-32205.map       [.] src_0xdb40c
     0.08%  translator  perf-32205.map       [.] src_0x33d330
     0.08%  translator  perf-32205.map       [.] src_0x208804
     0.08%  translator  perf-32205.map       [.] src_0x4f0bcc
     0.08%  translator  perf-32205.map       [.] src_0x12cfdc
     0.08%  translator  perf-32205.map       [.] src_0x33cf44
     0.08%  translator  perf-32205.map       [.] src_0x358aec
     0.08%  translator  perf-32205.map       [.] src_0xfbde8
     0.07%  translator  perf-32205.map       [.] src_0x4f1730
     0.07%  translator  perf-32205.map       [.] src_0x20070
     0.07%  translator  perf-32205.map       [.] src_0x26a580
     0.07%  translator  perf-32205.map       [.] src_0x2c1838
     0.07%  translator  perf-32205.map       [.] src_0x203a60
     0.07%  translator  perf-32205.map       [.] src_0xdb060
     0.07%  translator  perf-32205.map       [.] src_0x12cfc8
     0.07%  translator  perf-32205.map       [.] src_0x201fe8
     0.07%  translator  perf-32205.map       [.] src_0x12ce80
     0.07%  translator  perf-32205.map       [.] src_0x34e9f0
     0.07%  translator  perf-32205.map       [.] src_0xf5250
     0.07%  translator  perf-32205.map       [.] src_0x33ce74
     0.07%  translator  perf-32205.map       [.] src_0x2ae9f0
     0.07%  translator  perf-32205.map       [.] src_0xdb06c
     0.07%  translator  perf-32205.map       [.] src_0x20c86c
     0.07%  translator  perf-32205.map       [.] src_0xf4a4c
     0.07%  translator  perf-32205.map       [.] src_0x33db88
     0.07%  translator  perf-32205.map       [.] src_0xf6fd8
     0.07%  translator  perf-32205.map       [.] src_0x26a560
     0.07%  translator  perf-32205.map       [.] src_0x2aecd0
     0.07%  translator  perf-32205.map       [.] src_0xdb3cc
     0.07%  translator  perf-32205.map       [.] src_0x4f0384
     0.07%  translator  perf-32205.map       [.] src_0x4f0bb4
     0.07%  translator  perf-32205.map       [.] src_0x4f0afc
     0.07%  translator  perf-32205.map       [.] src_0xdb424
     0.07%  translator  perf-32205.map       [.] src_0x109c58
     0.07%  translator  perf-32205.map       [.] src_0xf51e8
     0.07%  translator  perf-32205.map       [.] src_0x26a5c4
     0.07%  translator  perf-32205.map       [.] src_0xfbdfc
     0.07%  translator  perf-32205.map       [.] src_0x12cfb8
     0.07%  translator  perf-32205.map       [.] src_0x12cfac
     0.07%  translator  perf-32205.map       [.] src_0x1646f8
     0.07%  translator  perf-32205.map       [.] src_0xfbe0c
     0.07%  translator  perf-32205.map       [.] src_0x2655f0
     0.07%  translator  perf-32205.map       [.] src_0xde718
     0.07%  translator  perf-32205.map       [.] src_0x4f1760
     0.07%  translator  perf-32205.map       [.] src_0x2b0fb4
     0.07%  translator  perf-32205.map       [.] src_0x4f110c
     0.07%  translator  perf-32205.map       [.] src_0xdeb08
     0.07%  translator  perf-32205.map       [.] src_0xfb8a4
     0.07%  translator  perf-32205.map       [.] src_0x34e448
     0.07%  translator  perf-32205.map       [.] src_0x33d2cc
     0.07%  translator  perf-32205.map       [.] src_0x2b4c90
     0.07%  translator  perf-32205.map       [.] src_0x33cfd8
     0.07%  translator  perf-32205.map       [.] src_0xfbd40
     0.07%  translator  perf-32205.map       [.] src_0x109d14
     0.07%  translator  perf-32205.map       [.] src_0x109d2c
     0.07%  translator  perf-32205.map       [.] src_0x12cf04
     0.06%  translator  perf-32205.map       [.] src_0x4f0ba8
     0.06%  translator  perf-32205.map       [.] src_0x4f0ff0
     0.06%  translator  perf-32205.map       [.] src_0x2c3e8c
     0.06%  translator  perf-32205.map       [.] src_0xdb43c
     0.06%  translator  perf-32205.map       [.] src_0x203c30
     0.06%  translator  perf-32205.map       [.] src_0x33cfe8
     0.06%  translator  perf-32205.map       [.] src_0x4f0bd8
     0.06%  translator  perf-32205.map       [.] src_0x2b0fbc
     0.06%  translator  perf-32205.map       [.] src_0x4f0ac4
     0.06%  translator  perf-32205.map       [.] src_0x2b4fbc
     0.06%  translator  perf-32205.map       [.] src_0x12cfd4
     0.06%  translator  perf-32205.map       [.] src_0x368b78
     0.06%  translator  perf-32205.map       [.] src_0x12cfd0
     0.06%  translator  perf-32205.map       [.] src_0xf17c0
     0.06%  translator  perf-32205.map       [.] src_0xde73c
     0.06%  translator  perf-32205.map       [.] src_0x4f042c
     0.06%  translator  perf-32205.map       [.] src_0x368b94
     0.06%  translator  perf-32205.map       [.] src_0x2c393c
     0.06%  translator  perf-32205.map       [.] src_0x2655e4
     0.06%  translator  perf-32205.map       [.] src_0x365bf8
     0.06%  translator  perf-32205.map       [.] src_0x4f0bc4
     0.06%  translator  perf-32205.map       [.] src_0x4f0b08
     0.06%  translator  perf-32205.map       [.] src_0xf1704
     0.06%  translator  perf-32205.map       [.] src_0x52b8b4
     0.06%  translator  perf-32205.map       [.] src_0x109c8c
     0.06%  translator  perf-32205.map       [.] src_0x203ac0
     0.06%  translator  perf-32205.map       [.] src_0x364b94
     0.06%  translator  perf-32205.map       [.] src_0x2b5344
     0.06%  translator  perf-32205.map       [.] src_0x4f150c
     0.06%  translator  perf-32205.map       [.] src_0xfbd24
     0.06%  translator  perf-32205.map       [.] src_0x12cfbc
     0.06%  translator  perf-32205.map       [.] src_0x529e18
     0.06%  translator  perf-32205.map       [.] src_0x2c1ebc
     0.06%  translator  perf-32205.map       [.] src_0x202010
     0.06%  translator  perf-32205.map       [.] src_0x20c884
     0.06%  translator  perf-32205.map       [.] src_0x52b8d0
     0.06%  translator  perf-32205.map       [.] src_0x2c1ee4
     0.06%  translator  perf-32205.map       [.] src_0x3de5c0
     0.06%  translator  perf-32205.map       [.] src_0x2c3eec
     0.06%  translator  perf-32205.map       [.] src_0x34e440
     0.06%  translator  perf-32205.map       [.] src_0xf526c
     0.06%  translator  perf-32205.map       [.] src_0xf1040
     0.06%  translator  perf-32205.map       [.] src_0xfbcf8
     0.06%  translator  perf-32205.map       [.] src_0x26a58c
     0.06%  translator  perf-32205.map       [.] src_0xf171c
     0.06%  translator  perf-32205.map       [.] src_0x203ab0
     0.06%  translator  perf-32205.map       [.] src_0x26a44c
     0.06%  translator  perf-32205.map       [.] src_0x33d40c
     0.06%  translator  perf-32205.map       [.] src_0x4f1878
     0.06%  translator  perf-32205.map       [.] src_0x365c00
     0.06%  translator  perf-32205.map       [.] src_0x2b5090
     0.06%  translator  perf-32205.map       [.] src_0x52b8ac
     0.06%  translator  perf-32205.map       [.] src_0x12d094
     0.06%  translator  perf-32205.map       [.] src_0x2c2aa4
     0.06%  translator  perf-32205.map       [.] src_0x2c27a4
     0.06%  translator  perf-32205.map       [.] src_0x2c3ee4
     0.06%  translator  perf-32205.map       [.] src_0x2b50c4
     0.06%  translator  perf-32205.map       [.] src_0x12d008
     0.06%  translator  perf-32205.map       [.] src_0x3654a8
     0.06%  translator  perf-32205.map       [.] src_0x2c67c4
     0.06%  translator  perf-32205.map       [.] src_0x34e8b4
     0.06%  translator  perf-32205.map       [.] src_0xf6fa8
     0.06%  translator  perf-32205.map       [.] src_0x203ad8
     0.06%  translator  perf-32205.map       [.] src_0x2b0fc0
     0.06%  translator  perf-32205.map       [.] src_0x2c3e28
     0.06%  translator  perf-32205.map       [.] src_0x33d340
     0.06%  translator  perf-32205.map       [.] src_0x2b400c
     0.06%  translator  perf-32205.map       [.] src_0x26a598
