# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7M of event 'cycles:ppp'
# Event count (approx.): 12004087673020
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.00%  translator  perf-14114.map     [.] src_0x33d94
     0.00%  translator  perf-14114.map     [.] src_0x295bc
     0.00%  translator  [kernel.kallsyms]  [k] __do_page_fault
     0.00%  translator  perf-14114.map     [.] src_0x17c10
     0.00%  translator  [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  translator  [kernel.kallsyms]  [k] __alloc_pages_nodemask
     0.00%  translator  [kernel.kallsyms]  [k] lapic_next_deadline
     0.00%  translator  [kernel.kallsyms]  [k] tick_sched_timer
     0.00%  translator  [kernel.kallsyms]  [k] read_tsc
     0.00%  translator  [kernel.kallsyms]  [k] __mod_node_page_state
     0.00%  translator  [kernel.kallsyms]  [k] __next_zones_zonelist
     0.00%  translator  [kernel.kallsyms]  [k] __mod_zone_page_state
     0.00%  translator  [kernel.kallsyms]  [k] unmap_page_range
     0.00%  translator  [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  translator  [kernel.kallsyms]  [k] ktime_get
     0.00%  translator  [kernel.kallsyms]  [k] page_remove_rmap
     0.00%  translator  [kernel.kallsyms]  [k] page_add_new_anon_rmap
     0.00%  translator  [kernel.kallsyms]  [k] __lru_cache_add
     0.00%  translator  [kernel.kallsyms]  [k] lru_cache_add_active_or_unevictable
     0.00%  translator  perf-14114.map     [.] src_0x1e568
     0.00%  translator  [kernel.kallsyms]  [k] down_read_trylock
     0.00%  translator  [kernel.kallsyms]  [k] vmacache_find
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.00%  translator  [kernel.kallsyms]  [k] find_busiest_group
     0.00%  translator  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  translator  perf-14114.map     [.] src_0x2093c
     0.00%  translator  [kernel.kallsyms]  [k] page_fault
     0.00%  translator  [kernel.kallsyms]  [k] alloc_pages_vma
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_update_lru_size
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_commit_charge
     0.00%  translator  [kernel.kallsyms]  [k] up_read
     0.00%  translator  [kernel.kallsyms]  [k] xhci_irq
     0.00%  translator  [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  translator  translator         [.] set_tlb
     0.00%  translator  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  translator  translator         [.] hash
     0.00%  translator  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.00%  translator  [kernel.kallsyms]  [k] cpuacct_account_field
     0.00%  translator  [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  translator  [kernel.kallsyms]  [k] rcu_process_callbacks
     0.00%  translator  [kernel.kallsyms]  [k] page_counter_try_charge
     0.00%  translator  [kernel.kallsyms]  [k] free_unref_page_list
     0.00%  translator  [kernel.kallsyms]  [k] account_user_time
     0.00%  translator  [kernel.kallsyms]  [k] pmd_page_vaddr
     0.00%  translator  [kernel.kallsyms]  [k] decay_load
     0.00%  translator  [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.00%  translator  perf-14114.map     [.] src_0x22248
     0.00%  translator  [kernel.kallsyms]  [k] free_unref_page_commit
     0.00%  translator  [kernel.kallsyms]  [k] get_task_policy.part.31
     0.00%  translator  [kernel.kallsyms]  [k] note_gp_changes
     0.00%  translator  perf-14114.map     [.] src_0x21924
     0.00%  translator  [kernel.kallsyms]  [k] __indirect_thunk_start
     0.00%  translator  [kernel.kallsyms]  [k] uncharge_page
     0.00%  translator  [kernel.kallsyms]  [k] pmd_devmap_trans_unstable
     0.00%  translator  [kernel.kallsyms]  [k] update_cfs_group
     0.00%  translator  [kernel.kallsyms]  [k] switch_to_thread_stack
     0.00%  translator  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%  translator  [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  translator  [kernel.kallsyms]  [k] __inc_numa_state
     0.00%  translator  [kernel.kallsyms]  [k] cpu_load_update
     0.00%  translator  [kernel.kallsyms]  [k] native_iret
     0.00%  translator  [kernel.kallsyms]  [k] pfn_pte
     0.00%  translator  [kernel.kallsyms]  [k] pmd_pfn
     0.00%  translator  [kernel.kallsyms]  [k] _vm_normal_page
     0.00%  translator  [kernel.kallsyms]  [k] update_load_avg
     0.00%  translator  [kernel.kallsyms]  [k] __page_set_anon_rmap
     0.00%  translator  [kernel.kallsyms]  [k] free_unref_page_prepare.part.65
     0.00%  translator  [kernel.kallsyms]  [k] idle_cpu
     0.00%  translator  [kernel.kallsyms]  [k] scheduler_tick
     0.00%  translator  [kernel.kallsyms]  [k] rcu_check_callbacks
     0.00%  translator  [kernel.kallsyms]  [k] cpu_needs_another_gp
     0.00%  translator  [kernel.kallsyms]  [k] do_page_fault
     0.00%  translator  perf-14114.map     [.] src_0x11278
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_page_lruvec
     0.00%  translator  [kernel.kallsyms]  [k] sched_avg_update
     0.00%  translator  [kernel.kallsyms]  [k] tick_program_event
     0.00%  translator  [kernel.kallsyms]  [k] calc_global_load_tick
     0.00%  translator  [kernel.kallsyms]  [k] __accumulate_pelt_segments
     0.00%  translator  [kernel.kallsyms]  [k] _cond_resched
     0.00%  translator  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.00%  translator  [kernel.kallsyms]  [k] free_pcp_prepare
     0.00%  translator  [kernel.kallsyms]  [k] timerqueue_add
     0.00%  translator  [kernel.kallsyms]  [k] hrtimer_forward
     0.00%  translator  [kernel.kallsyms]  [k] read_hpet
     0.00%  translator  [kernel.kallsyms]  [k] __acct_update_integrals
     0.00%  translator  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.00%  translator  [kernel.kallsyms]  [k] update_curr
     0.00%  translator  [kernel.kallsyms]  [k] __get_vma_policy
     0.00%  translator  [kernel.kallsyms]  [k] rcu_bh_qs
     0.00%  translator  [kernel.kallsyms]  [k] __update_load_avg_se.isra.37
     0.00%  translator  [kernel.kallsyms]  [k] hrtimer_active
     0.00%  translator  [kernel.kallsyms]  [k] rcu_all_qs
     0.00%  translator  [kernel.kallsyms]  [k] do_syscall_64
     0.00%  translator  perf-14114.map     [.] src_0x519d0
     0.00%  translator  perf-14114.map     [.] src_0x28d88
     0.00%  translator  [kernel.kallsyms]  [k] memcg_check_events
     0.00%  translator  [kernel.kallsyms]  [k] policy_nodemask
     0.00%  translator  [kernel.kallsyms]  [k] ret_from_intr
     0.00%  translator  [kernel.kallsyms]  [k] reweight_entity
     0.00%  translator  [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%  translator  [kernel.kallsyms]  [k] rcu_irq_exit
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics
     0.00%  translator  [kernel.kallsyms]  [k] task_tick_fair
     0.00%  translator  [kernel.kallsyms]  [k] rebalance_domains
     0.00%  translator  [kernel.kallsyms]  [k] __dec_node_state
     0.00%  translator  [kernel.kallsyms]  [k] find_vma
     0.00%  translator  [kernel.kallsyms]  [k] apic_timer_interrupt
     0.00%  translator  [kernel.kallsyms]  [k] get_vma_policy.part.35
     0.00%  translator  [kernel.kallsyms]  [k] load_balance
     0.00%  translator  [kernel.kallsyms]  [k] smp_apic_timer_interrupt
     0.00%  translator  [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  translator  [kernel.kallsyms]  [k] enqueue_hrtimer
     0.00%  translator  [kernel.kallsyms]  [k] native_apic_mem_write
     0.00%  translator  [kernel.kallsyms]  [k] __dec_node_page_state
     0.00%  translator  [kernel.kallsyms]  [k] cpumask_next_and
     0.00%  translator  [kernel.kallsyms]  [k] _find_next_bit
     0.00%  translator  [kernel.kallsyms]  [k] native_sched_clock
     0.00%  translator  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  translator  [kernel.kallsyms]  [k] list_lru_count_one
     0.00%  translator  [kernel.kallsyms]  [k] mem_cgroup_uncharge_list
     0.00%  translator  [kernel.kallsyms]  [k] try_to_wake_up
     0.00%  translator  [kernel.kallsyms]  [k] refill_stock
     0.00%  translator  [kernel.kallsyms]  [k] error_exit
     0.00%  translator  [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  translator  [kernel.kallsyms]  [k] cgroup_cpu_stat_updated
     0.00%  translator  [kernel.kallsyms]  [k] __schedule
     0.00%  translator  [kernel.kallsyms]  [k] handle_tx_event
     0.00%  translator  [kernel.kallsyms]  [k] native_set_pte_at
     0.00%  translator  [kernel.kallsyms]  [k] wakeup_kswapd
     0.00%  translator  [kernel.kallsyms]  [k] resched_curr
     0.00%  translator  [kernel.kallsyms]  [k] shrink_page_list
     0.00%  translator  [kernel.kallsyms]  [k] run_rebalance_domains
     0.00%  translator  perf-14114.map     [.] src_0x2b998
     0.00%  translator  [kernel.kallsyms]  [k] irq_enter
     0.00%  translator  [kernel.kallsyms]  [k] select_task_rq_fair
     0.00%  translator  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.00%  translator  [kernel.kallsyms]  [k] update_group_capacity
     0.00%  translator  [kernel.kallsyms]  [k] cpu_load_update_active
     0.00%  translator  perf-14114.map     [.] src_0x26d20
     0.00%  translator  [kernel.kallsyms]  [k] retint_user
     0.00%  translator  [kernel.kallsyms]  [k] __cpuset_node_allowed
     0.00%  translator  [kernel.kallsyms]  [k] policy_node
     0.00%  translator  [kernel.kallsyms]  [k] __alloc_pages_slowpath
     0.00%  translator  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.00%  translator  translator         [.] fe_enc64_impl
     0.00%  translator  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.23
     0.00%  translator  [kernel.kallsyms]  [k] pick_next_task_stop
     0.00%  translator  [kernel.kallsyms]  [k] rb_insert_color
     0.00%  translator  [kernel.kallsyms]  [k] __calc_delta
     0.00%  translator  [kernel.kallsyms]  [k] __intel_pmu_disable_all
     0.00%  translator  perf-14114.map     [.] src_0x23854
     0.00%  translator  [kernel.kallsyms]  [k] account_entity_dequeue
     0.00%  translator  [kernel.kallsyms]  [k] raise_softirq
     0.00%  translator  translator         [.] optimize_patterns
     0.00%  translator  [kernel.kallsyms]  [k] __delete_from_page_cache
     0.00%  translator  [kernel.kallsyms]  [k] sync_mm_rss
     0.00%  translator  [kernel.kallsyms]  [k] exit_to_usermode_loop
     0.00%  translator  [kernel.kallsyms]  [k] rcu_segcblist_future_gp_needed
     0.00%  translator  [kernel.kallsyms]  [k] profile_tick
     0.00%  translator  [kernel.kallsyms]  [k] __bitmap_and
     0.00%  translator  perf-14114.map     [.] src_0x29154
     0.00%  translator  [kernel.kallsyms]  [k] enqueue_task_fair
     0.00%  translator  [kernel.kallsyms]  [k] intel_tfa_pmu_enable_all
     0.00%  translator  [kernel.kallsyms]  [k] rcu_irq_enter
     0.00%  translator  [kernel.kallsyms]  [k] __dev_queue_xmit
     0.00%  translator  [kernel.kallsyms]  [k] enqueue_entity
     0.00%  translator  [kernel.kallsyms]  [k] pick_next_task_rt
     0.00%  translator  perf-14114.map     [.] src_0x1a9dc
     0.00%  translator  [kernel.kallsyms]  [k] timerqueue_del
     0.00%  translator  [kernel.kallsyms]  [k] rb_next
     0.00%  translator  [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  translator  [kernel.kallsyms]  [k] irq_work_tick
     0.00%  translator  [kernel.kallsyms]  [k] xhci_dma_to_transfer_ring
     0.00%  translator  translator         [.] translate_risc_instr
     0.00%  translator  [kernel.kallsyms]  [k] __entry_trampoline_start
     0.00%  translator  [kernel.kallsyms]  [k] ext4_da_write_end
     0.00%  translator  [kernel.kallsyms]  [k] page_counter_cancel
     0.00%  translator  [kernel.kallsyms]  [k] isolate_lru_pages.isra.59
     0.00%  translator  [kernel.kallsyms]  [k] workingset_update_node
     0.00%  translator  [kernel.kallsyms]  [k] __mem_cgroup_threshold
     0.00%  translator  [kernel.kallsyms]  [k] free_page_and_swap_cache
     0.00%  translator  [kernel.kallsyms]  [k] __zone_watermark_ok
     0.00%  translator  translator         [.] getRd
     0.00%  translator  [kernel.kallsyms]  [k] unlock_page
     0.00%  translator  translator         [.] parse_instruction
     0.00%  translator  [kernel.kallsyms]  [k] add_transaction_credits
     0.00%  translator  [kernel.kallsyms]  [k] __radix_tree_lookup
     0.00%  translator  [kernel.kallsyms]  [k] ext4_file_write_iter
